Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
Spouse event,2026-01-27,January,Other,Planning Stage,Small (10–15),-,Under Negotiation,Personal Development,Leadership,Female Spouses,"Learning,Connection",Quarterly forum for leadership development.,Not Decided Yet,"Casablanca, Morocco",No,Panel discussion with senior leaders.,,Yasmin Othman,YPO Kuwait Integrated,
Family event ,2027-02-24,February ,Social Event,Scheduled,Small (10–15),charity event,Confirmed,Business Growth,Compliance,"Spouses (Mixed),Members",Learning,Mandatory compliance training sessions.,Not Open to Region,"Amman, Jordan",No,"Annual refresher, tracked via LMS.",,Japdeep Sahni,YPO Kuwait Integrated,
Session Actionable insights,2027-03-24,March,Conference,Planning Stage,Medium (15–50),Rob Follows,Under Negotiation,Business Growth,"Leadership,Finance",Members,Learning,24-hour hackathon with prizes for best solutions.,Open to Region,"Karachi, Pakistan",TBC,"Keynote by CEO, breakout sessions planned.",,"TBD

",YPO Kuwait Integrated,
HAPPINESS,2026-09-30,September,Conference,Scheduled,Medium (15–50),ROHIT,Confirmed,Personal Development,"Mental Health,Wellness","Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
ART AS AN INVESTMENT,2026-10-15,October,Conference,Scheduled,Medium (15–50),OUSSAMA RIFAI,Confirmed,Business Growth,Investing,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
HIKE,2026-10-10,October,Social Event,Scheduled,Medium (15–50),TAREK FAWAZ,Confirmed,Adventures and Experiences,Wellness,"Members,Spouses (Mixed),Gold Members","Fun,Connection",,Not Open to Region,LEBANON,No,,,"TAREK FAWAZ

",YPO Lebanon,
PEPTIDES AND LONGEVITY,2026-10-22,October,Conference,Planning Stage,Medium (15–50),ELIAS CHABTINI,Pending,Personal Development,Longevity,"Members,Spouses (Mixed),Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
FROM RESILIENCE TO GROWTH,2026-11-18,November,Conference,Scheduled,Medium (15–50),MARIA KOUTSOVOULOU,Confirmed,Business Growth,Leadership,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
ART OF MIXOLOGY,2026-12-03,December,Social Event,Planning Stage,Medium (15–50),FAWZI ISSA,Confirmed,Adventures and Experiences,Other,"Members,Gold Members",Fun,,Not Open to Region,LEBANON,No,,,,YPO Lebanon,
SCALE UP,2027-01-12,January,Training,Scheduled,XXL (100+),VERNE HARNISH,Confirmed,Business Growth,Innovation,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,LEVANT,,,YPO Lebanon,
CYBER SECURITY,2027-01-28,January,Conference,Scheduled,Medium (15–50),KHALDOUN SERHAL,Confirmed,Business Growth,AI & Technology,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
GOVERNANCE,2027-02-11,February ,Conference,Scheduled,Medium (15–50),BADRI MEOUCHI,Confirmed,Business Leadership,Family Business,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
DESTROY YOUR OWN BUSINESS,2027-03-04,March,Conference,Scheduled,Medium (15–50),ALEXANDRE GEORGES,Confirmed,Business Growth,Innovation,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,LEVANT,,,YPO Lebanon,
WATCH AS AN ASSET,2027-04-15,April,Conference,Scheduled,Medium (15–50),CAMILLE MOUSSA,Confirmed,,Investing,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
ELIE SAAB,,April,Fireside Chat,Planning Stage,Medium (15–50),ELIE SAAB,Confirmed,,Other,"Members,Gold Members",Learning,,Not Open to Region,LEBANON,No,,,,YPO Lebanon,
HOW TO RAISE OUR KIDS TODAY,,May,Conference,Planning Stage,Medium (15–50),,Pending,Family Focus,"Relationships,Parenting","Members,Gold Members,Spouses (Mixed)",Learning,,Not Open to Region,LEBANON,No,,,,YPO Lebanon,
Rise Beyond: From Zero to Claude Code,2026-09-28,September,Training,Confirmed,Medium (15–50),Michelle Chaar,Confirmed,Personal Development,AI & Technology,Members,Learning,"Explore Claude Code through a hands-on session with Michele Char, Certified AI Trainer from the VJAL Institute, focused on practical skills and real-world applications.",Not Open to Region,"Beirut, Lebanon",No,,,"Saeb Nahas
",YPO Levant Integrated,
Rise Together: Family retreat in Jordan (2-4 Oct),2026-10-02,October,Retreat,Confirmed,Medium (15–50),Nuha Midani,Confirmed,Family Focus,,Family,Fun,"Get ready for an unforgettable family adventure through Amman, Petra, and Wadi Rum.",,Jordan,,,,Nuha Midani,YPO Levant Integrated,
"Sleep smarter, living longer with Dr. Wendy Troxel",2026-10-12,October,Virtual/Hybrid,Confirmed,Medium (15–50),Dr. Wendy Troxel,Confirmed,Personal Development,Longevity,"Members,Spouses (Mixed)",Learning,"Unlock the science behind high-quality sleep and its profound implications on health, relationships, performance, and longevity.
",,Virtual,,,,"Henri Khayat
",YPO Levant Integrated,
"Rise Within: Healthier Thinking, Emotions & Decisions with Dr. Naif Al-Mutawa",2026-10-30,October,Conference,Confirmed,Medium (15–50),Dr. Naif al Mutawa,Confirmed,Personal Development,Mental Health,"Members,Spouses (Mixed)",Learning,"Join award-winning serial entrepreneur, clinical psychologist, and clinical hypnotherapist Dr. Naif Al-Mutawa for an immersive and transformative workshop exploring the power of Behavioral Therapy and Group Hypnotherapy.",Open to Region,"Dubai, UAE",No,,,"Fadi de Jaroueh
",YPO Levant Integrated,
Investing in Tomorrow with Noor Sweid,2026-11-06,November,Fireside Chat,Scheduled,Medium (15–50),Noor Sweid,Confirmed,Business Growth,Investing,Members,Learning,"Start your day with an inspiring conversation featuring Noor Sweid, one of the region's leading investors and entrepreneurs. ",Not Open to Region,"Dubai, UAE",No,,,"Zaid Midani
",YPO Levant Integrated,
Rise Through: The Craft of Time Watchmaking with IWC,2026-11-26,November,Roundtable,Confirmed,Small (10–15),IWC,Under Negotiation,Business Growth,Creativity,"Members,Spouses (Mixed)",Fun,"Experience the art and precision of luxury watchmaking through an exclusive behind-the-scenes journey with IWC. Members will discover the craftsmanship, heritage, and intricate mechanics that define the world of fine timepieces.",Not Open to Region,"Dubai, UAE",No,,,"TBD
",YPO Levant Integrated,
Family event- team building (mid Nov),,November,Experiences,Planning Stage,Medium (15–50),TBD,Pending,Family Focus,,Family,"Fun,Connection","A fun and engaging family experience designed to strengthen connections, encourage teamwork, and create lasting memories through shared challenges and activities.
",,Beirut & Dubai,,,,Nuha Midani,YPO Levant Integrated,
Virtual #2- AI with Wade Wyant- ,2026-12-11,December,Virtual/Hybrid,Confirmed,Medium (15–50),Wade Wyant,Confirmed,Personal Development,AI & Technology,"Members,Spouses (Mixed)",Learning,"Wade Wyant reframes AI not as another tool in the kit but as your Co-CEO, a partner that sharpens judgment, accelerates innovation, and transforms how you lead. Rather than focusing on features and functions, Wade speaks the language of CEOs and entrepreneurs, translating AI into board-level strategy and competitive advantage. Through real-world examples and practical insights, he shows YPO members how to harness AI as a trusted ally in decision-making, growth, and vision, equipping you to stay ahead while freeing time for what matters most.
",,Virtual,,,,,YPO Levant Integrated,
Virtual #3 in the boardroom,,January,Virtual/Hybrid,Planning Stage,Medium (15–50),,,,,,,"Join us for a virtual In the Boardroom session with Yasmin Kayali, sharing insights from MIT’s robotics ecosystem and exploring the latest innovations and real-world applications in the field.",,Virtual,,,,,YPO Levant Integrated,
Levantine Art- Story telling with Sultan Sooud Al-Qassemi and Mid East Art,,January,Experiences,Planning Stage,Small (10–15),Sultan Sooud Al-Qassemi,Confirmed,Personal Development,,"Members,Spouses (Mixed)",,"Discover the rich heritage, cultural significance, and growing global influence of Middle Eastern art through an exclusive experience with Bonhams.",,"Dubai, UAE",,,,Ronnie Anbouba,YPO Levant Integrated,
Virtual in the boardroom #3 Investing with Adam Khoo,2027-02-18,February ,Virtual/Hybrid,Planning Stage,Medium (15–50),Adam Khoo,Under Negotiation,Generational Success,Investing,"Members,Spouses (Mixed)",Learning,"Join renowned entrepreneur, investor, and bestselling author Adam Khoo for an exclusive virtual In The Boardroom session. ",Not Open to Region,Virtual,No,,,,YPO Levant Integrated,
Private visit to Sacy Khan museum,2027-04-17,April,Experiences,Confirmed,Medium (15–50),Khan Sacy,Confirmed,Adventures and Experiences,Family Business,"Members,Spouses (Mixed)",,"An exclusive journey into the hidden world of Khan Sacy, where centuries of history lie waiting to be uncovered.",,"Saida, Lebanon",,,,Dina Sacy,YPO Levant Integrated,
Visit to Amazon logisitics center UAE,,,Experiences,Planning Stage,Medium (15–50),,,,,,,,,"Dubai, UAE",,,,,YPO Levant Integrated,
Visit to SWITCH foods UAE,,,Experiences,Planning Stage,Medium (15–50),,,,,,,,,"Dubai, UAE",,,,,YPO Levant Integrated,
In The Boardroom with Youmna Asseily,,,In the Boardroom,Planning Stage,Medium (15–50),Youmna Asseily,Confirmed,Business Leadership,Women Leadership,"Members,Spouses (Mixed)",,"Join Youmna Asseily as she shares her unexpected journey from entrepreneurship to winemaking, and the story of transforming Château Biac into a celebrated family-run Bordeaux estate — a story of reinvention, resilience, and legacy.",,"Beirut, Lebanon",,,,Michele Jabra,YPO Levant Integrated,
Dr Jessica O’Reilly of Happier Couples Inc,2026-09-19,September,Experiences,Confirmed,Small (10–15),Dr Jess O'Reilly,Confirmed,Personal Development,"Wellness,Relationships","Members,Spouses (Mixed)","Learning,Fun,Connection","Turn the Lights Down Low — with Dr. Jess O'Reilly
An evening with renowned sexologist and relationship expert Dr. Jess O'Reilly, founder of Happier Couples. Dr. Jess has worked with thousands of couples across the globe, helping them transform their relationships through her practical, no-nonsense approach. She has received multiple ""Perfect 10"" ratings from YPO chapters worldwide, with members consistently citing her ability to discuss intimacy and connection with warmth, humour, and zero judgment. A true ""Only in YPO"" experience, designed to spark honest conversation between partners.",Not Open to Region,"Dubai , U.A.E",Yes,"For the Dr. Jess event. YPO Dubai, YPO MENA One, and our chapter MENA Gulf have decided to share the logistics cost for the event with Dr. Jess. Based on this, we have finalized the date with Dr. Jess as well.

If there are any other chapters who are interested in having Dr. Jess, we can add them to our WhatsApp group, so do let us know kindly.",2026-08-10,TBC ,YPO MENA Gulf Regional Integrated,
Event with Prof. Martin A. Sinozich (Finance) + Date Factory Tour,2026-09-28,September,Experiences,Scheduled,Medium (15–50),Prof. Martin A. Sinozich,Pending,Business Growth,Finance,Members,Learning,"A learning day combining a finance-focused session with Prof. Martin A. Sinozich, Senior Lecturer in the Entrepreneurial Management Unit at Harvard Business School, followed by a visit to a Date Factory.

Martin teaches Finance to CEOs and Managing Partners who own and operate family-owned firms, large and small, as part of HBS's Executive Education Owner/President Management Program. Before joining the HBS faculty, he worked in large financial institutions including Fidelity Investments, MBNA America Bank, and Prudential Home Mortgage, where he led innovation teams adopting new technologies into the corporate DNA, including developing some of the earliest internet capabilities at MBNA America Bank in 1995-96 and the first remote workforce capabilities at Fidelity Investments in 1998-99. 

A practical, owner-operator lens on finance, especially relevant for members running family businesses, paired with a hands-on, sensory experience at the Date Factory to round out the day.",Open to Region,"Dubai , UAE",TBC,,2026-09-01,,YPO MENA Gulf Regional Integrated,
Financing the Machine: Who's Really Paying for the AI Boom,2026-10-10,October,Fireside Chat,Scheduled,Medium (15–50),"There will be 2-3 speakers , one of which will be  Sunil Kaushal",Pending,Business Innovation,"AI & Technology,Investing",Members,Learning,,Not Decided Yet,"Dubai , UAE",TBC,,2026-09-17,"Ishan Garga and Priank Garg
",YPO MENA Gulf Regional Integrated,
AI for busy spouses - Spouse only event,2026-10-23,October,Training,Planning Stage,Small (10–15),Shweta scott,Pending,Personal Development,AI & Technology,Female Spouses,Learning,"AI as Your Personal Operating System: Family Brain + Work Brain

This will be a practical, hands-on session designed for spouses who want to understand how AI can become a useful thought partner in both family life and work/business life — not just a tool for answering questions.

The session will focus on how to use AI to create more clarity, reduce mental load, and build simple personal systems across two areas:

1/ Family Brain  
How AI can help manage the invisible work of home and family life — planning, decision-making, schedules, calendars,, activities, household admin, and staying organized.

2/ Work Brain  
How AI can support business owners, professionals, and community leaders with thinking, writing, planning, research, decision-making, and follow-through.

What we’ll cover:  
•⁠  ⁠How to give AI better context so it understands your life, priorities, family, and work  
•⁠  ⁠How to create reusable systems instead of starting from scratch each time  
•⁠  ⁠Practical examples of AI helping with family planning, home admin, work planning, communication, and idea development  
•⁠  ⁠⁠An example of how to automate tasks like inbox triage and scheduling family calendars 
•⁠  ⁠A guided co-working section where participants can start building their own “family brain” or “work brain” live in the session  

What participants will walk away with:  
•⁠  ⁠A clearer understanding of how to use AI beyond basic prompts  
•⁠  ⁠Practical templates they can reuse immediately  
•⁠  ⁠A simple starting structure for their own personal AI system  
•⁠  ⁠Confidence using AI as a thought partner for everyday family and work decisions  

The tone will be practical, accessible, and hands-on",Not Open to Region,"Dubai , UAE",No,,2026-09-17,Niyati Mutha,YPO MENA Gulf Regional Integrated,
Crossroads 2026 - HBS partnership event,2026-11-12,November,Conference,Confirmed,XXL (100+),Various speakers - all under negotiation currently,Under Negotiation,Business Leadership,"Leadership,Entrepreneurship,Innovation",Members,Learning,"1 - young talent , 2 - Ai and adaptation priv n gov , 3 - enterpreneurial (dubai n gcc ) right place for innovations , 4 - how we can bring synergy back to gcc // these are the 4 pillars identified with crown pillar office // stage 1 - identifying the right sterring committee for every pillar - the committee needs to find solutions pre summit - at the summit and post summit and the notes will be given to crown prince office ",Open to Region,"DUBAI, UAE",No,"i can share the deck if needed 
",2026-10-12,"Hari Chereddi
",YPO MENA Gulf Regional Integrated,
MENA Gulf Cricket Cup 2026 – T10,2026-11-14,November,Social Event,Scheduled,Large (50-100),,,Adventures and Experiences,Other,Members,"Fun,Connection","A regional cricket tournament bringing chapters together on the field. Each participating chapter fields a team of 11 members, competing in a T10 format with proper scoring, umpiring, and tournament structure, much like a professional league.
The tournament runs over two days at the Sobha Stadium, with a dedicated event theme tying together the matches, presentation, and overall experience. A few celebrity appearances are also being planned to add to the buzz around the event.
A high-energy, competitive format designed to bring out chapter pride and camaraderie in a completely different setting from the usual learning and social events.",Open to Region,Dubai . UAE,No,"It will be for 2 days , confirmed 14-15 November 2026",2026-09-18,Emad Haq & Mithun Vora,YPO MENA Gulf Regional Integrated,
Global Academic Exchange – with Prof. Niro Sivanathan & Prof. Florin Vasvari,2026-12-12,December,Other,Confirmed,Large (50-100),Prof. Niro Sivanathan & Prof. Florin Vasvari,Confirmed,Business Leadership,"Leadership,Entrepreneurship",Members,Learning,"Global Academic Exchange — with Prof. Niro Sivanathan & Prof. Florin Vasvari
A two-day executive learning experience bringing together two of London Business School's most respected faculty for a chapter-exclusive engagement.

Day 1 — Negotiation, led by Prof. Niro Sivanathan, Professor of Organizational Behavior at London Business School, renowned for his expertise in influence, negotiation, and decision-making. He has worked extensively with YPO Global and chapters, with his events nominated for or winning YPO ""Best of the Best"" awards, and regularly advises and coaches YPO members on negotiations related to exits, acquisitions, and other strategic deals ranging from $35M to $2B. 

Day 2 — Private Equity, led by Prof. Florin Vasvari, Executive Dean of Executive Education (Middle East) and Academic Director of the Institute of Entrepreneurship and Private Capital at London Business School. He teaches Distressed Investing and Private Equity and Venture Capital at the school, combining academic rigor with practical industry expertise. 

The two days close together with a one-hour collaborative session bringing both professors on stage, exploring where negotiation and private equity intersect, a fitting close given that the two have already co-designed and co-direct LBS's own Private Equity Negotiations Programme together. 
",Open to Region,"DUBAI ,UAE",TBC,"DEC 12/13 is confirmed (dec 12 - prof florian , dec 13 - prof niro) // This will be a 2 day masterclass with 2 professors ",2026-10-13,Hari Kiran Chereddi,YPO MENA Gulf Regional Integrated,
(ITB) Industry Titans Boardroom – with Sunil Alagh (ITC/Britannia Legacy Dialogue),2026-12-19,December,In the Boardroom,Planning Stage,Medium (15–50),Sunil Alagh ,Pending,Generational Success,"Leadership,Entrepreneurship,Sustainability",Members,Learning,"A candid boardroom conversation with Sunil Alagh, former Managing Director and CEO of Britannia Industries, who transformed it into India's leading biscuit manufacturer through iconic brands like Tiger, with his career having started at ITC. An intimate, closed-door session drawing on decades of real boardroom experience in building brands and leading through high-stakes moments. ",Open to Region,"Dubai , UAE",No,,2026-11-19,TBC,YPO MENA Gulf Regional Integrated,
WSET Level 1 Certification Experience – Executive Wine Mastery,2027-01-08,January,Lunch & Learn,Planning Stage,Medium (15–50),,,Personal Development,Other,"Members,Spouses (Mixed)","Learning,Fun,Connection","A hands-on wine education session leading to an internationally recognised WSET Level 1 certification. Members learn the fundamentals of wine, tasting technique, food pairing, and service essentials, delivered in an engaging, executive-friendly format. A great blend of learning and social, ending with a credential members can actually take home.",Not Decided Yet,"Dubai , UAE",TBC,A Certification experience ,2026-12-11,Hari Kiran Chereddi,YPO MENA Gulf Regional Integrated,
Strategic Leadership Intensive – 1 Day Program with Prof. Das,2027-01-23,January,Milestone Event,Confirmed,Large (50-100),Prof Das Narayandas - HBS,Confirmed,Business Growth,"Entrepreneurship,Customer Service,Innovation",Members,Learning,"A full-day executive leadership program led by Prof. Das Narayandas, the Edsel Bryant Ford Professor of Business Administration at Harvard Business School, who returns to the chapter following his earlier masterclass. He has been an HBS faculty member since 1994 and has won the Robert F. Greenhill Award for Outstanding Service to the HBS Community, the Charles M. Williams Award for Excellence in Teaching, and the Apgar Award for Innovation in Teaching. 

His scholarship focuses on market-facing issues in business-to-business marketing and professional services, including client management strategy, delivering service excellence, and channel design. He has consulted and developed in-house training programs for companies including GE, IBM, J&J, Honeywell, Mitsubishi, Tata Group, and Microsoft, among others. He currently sits on the board of Titan Company Limited. 

A day designed for senior leaders looking to sharpen strategic thinking and client/customer management frameworks at the highest level, backed by decades of real-world consulting and classroom expertise.",Open to Region,"DUBAI , UAE",No,"This was a highly rated event across the region, which is why we're bringing Professor Das back for another hit.",2026-10-14,Hari Kiran Chereddi,YPO MENA Gulf Regional Integrated,
Impact & Influence – Celebrity Charity Leadership Evening,2027-02-06,February ,Social Event,Planning Stage,Large (50-100),Ali Zafar - Singer,Pending,Adventures and Experiences,Other,"Members,Family","Fun,Connection","A sponsored ballroom evening honoring our workers and the people who power our city, brought together for a night of celebration. The evening features live celebrity performances and singing, paired with a charitable element that gives the evening real heart and purpose.

A dignified, memorable experience designed to celebrate a community that rarely gets a night like this, while showcasing the chapter's leadership in giving back.",Not Decided Yet,"Dubai , UAE",TBC,"It will be for the month of Ramadan , to give back to the community",2026-12-23,Emad Haq,YPO MENA Gulf Regional Integrated,
Global Affairs & Leadership Forum – with Prof. Hise Gibson,2027-03-13,March,Other,Scheduled,Large (50-100),Prof. Hise Gibson,Confirmed,Business Leadership,"Leadership,Entrepreneurship",Members,Learning,"A 4-hour executive learning forum with Prof. Hise Gibson, Senior Lecturer in the Technology and Operations Management Unit at Harvard Business School, and a retired Colonel with 25 years of distinguished service in the United States Army. His research focuses on operational effectiveness, leadership, leader development, human capital development, change management, and leading teams through crisis. He has received the Legion of Merit and Bronze Star for his military service. 

Built around two 80-90 minute case study sessions, with a 30-minute break between each, totaling 180 minutes plus breaks. Per the call with Prof. Gibson on 17 June 2026, the sessions will anchor on:

Crisis leadership and organisational change — practical, actionable approaches leaders can apply directly, not just theory
Scaling through three lenses — people, process, and technology, examined as the core levers for organisational scale

A high-intensity, case-driven format designed to leave members with concrete frameworks they can apply immediately, not just inspiration.",Open to Region,"Dubai , UAE",TBC,,2026-01-06,TBC,YPO MENA Gulf Regional Integrated,
Jeffersonian Dinner & Deal Talk – Curated Executive Dialogue,2027-03-19,March,Other,Planning Stage,Large (50-100),,,Business Leadership,"Leadership,Entrepreneurship",Members,"Learning,Connection","A collaboration with DBGN and Deal Network, bringing two distinct formats together in one evening. It opens with the Deal Talk, a closed-room exchange limited to 15-20 people, designed for candid, off-the-record conversation on real deals, decisions, and lessons learned. This is followed by the Jeffersonian Dinner, bringing the full group together around one shared conversation, classic Jeffersonian style, rather than scattered table talk.
A high-trust evening built for genuine connection, intimacy, and unfiltered exchange rather than panel-style Q&A. Speaker to be confirmed.",Open to Region,"Dubai ,UAE",No,,,,YPO MENA Gulf Regional Integrated,
Legal Perspectives – with Nita Maru,2027-04-03,April,Fireside Chat,Planning Stage,Medium (15–50),Nita Maru,Pending,Business Leadership,Compliance,"Members,Spouses (Mixed)",Learning,"Legal Perspectives — with Nita Maru
A session with Nita Maru, UK-qualified solicitor and Managing Partner of TWS Legal Consultants, Dubai, with over 25 years of experience between London and the UAE. She specializes in private client law, Wills, inheritance, and succession planning, and was a pioneering advocate for the DIFC Wills and Probate system for expatriates in the UAE. 

A practical session on succession, estate, and family legal planning for members navigating these realities in the UAE.",Not Decided Yet,"Dubai , UAE",TBC,,,,YPO MENA Gulf Regional Integrated,
The Augmented CEO: AI & the Future of Leadership ,2027-04-24,April,Training,Planning Stage,Medium (15–50),TBC,Pending,Business Innovation,AI & Technology,"Members,Spouses (Mixed)",Learning,"The Augmented CEO: AI & the Future of Leadership
A full-day learning event exploring how AI is reshaping the way leaders run their businesses, with a focus on practical, sector-relevant applications rather than theory. Core themes to cover: how AI is being used to drive sales, transform marketing, and scale operations, with real case studies and frameworks members can actually take back and apply.",Open to Region,"Dubai , U.A.E",TBC,"Please do let us know if there are any good hands on AI speakers that could be suggested , as we need someone who can give out great takeaways",2026-09-10,TBC,YPO MENA Gulf Regional Integrated,
Icons of Porsche event,2027-05-08,May,Experiences,Planning Stage,Medium (15–50),Porsche CEO,Pending,Business Growth,,Members,"Learning,Fun",,Open to Region,"Dubai , U.A.E",No,,,,YPO MENA Gulf Regional Integrated,
Lattafa Factory // Perfume Factory ( Bottle Making),2027-05-15,May,Experiences,Planning Stage,Medium (15–50),,,Adventures and Experiences,,"Members,Spouses (Mixed)","Learning,Fun,Connection",,Not Decided Yet,"Dubai , UAE",TBC,,,,YPO MENA Gulf Regional Integrated,
"Deeper Connection, Love, Passion & Intimacy",2026-09-18,September,Fireside Chat,Confirmed,Medium (15–50),Dr. Jessica O'Reilly,Confirmed,Personal Development,"Wellness,Relationships","Members,Female Spouses,Male Spouses","Learning,Connection","Ignite your relationship with an intimate, expert-led conversation on deepening passion, mastering communication, and cultivating lasting intimacy.",Not Open to Region,"Dubai, UAE",No,,2026-08-18,Albane Chaillot & Elena Zogaib,YPO MENA One Regional Integrated,
How Humanity Stays Human in the AI Era,2026-09-28,September,Training,Confirmed,Medium (15–50),Mo Gawdat,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed)",Learning,"An inspiring exploration into safeguarding our empathy, creativity, and consciousness to ensure humanity thrives alongside artificial intelligence.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-28,Nik Lall,YPO MENA One Regional Integrated,
Fireside Chat 'Creating Hope in Times of Upheaval',2026-10-02,October,Fireside Chat,Confirmed,Medium (15–50),HE Reem Al Hashimy,Pending,Business Leadership,"Leadership,Women Leadership",Members,Learning,,Not Open to Region,"Dubai, UAE",No,,2026-09-02,Elie Chaillot,YPO MENA One Regional Integrated,
Inside the Mind of an Artist,2026-10-26,October,Lunch & Learn,Confirmed,Medium (15–50),Sacha Jafri,Confirmed,Personal Development,"Creativity,Leadership","Members,Spouses (Mixed)","Learning,Connection",,Not Open to Region,"Dubai, UAE",No,,2026-09-26,Heba Al Emara,YPO MENA One Regional Integrated,
A Night under The Moon,2026-10-30,October,Experiences,Confirmed,Medium (15–50),Layla El Khadri,Confirmed,Personal Development,"Longevity,Wellness","Members,Spouses (Mixed)","Learning,Connection","Experience a soulful evening of movement and mindfulness under the stars, blending guided somatic dance and yoga led by Layla El Khadri to reconnect with your body and spirit.",Not Open to Region,"Dubai, UAE",No,,2026-09-30,Niousha Ehsan,YPO MENA One Regional Integrated,
The Impossible First,2026-11-10,November,Fireside Chat,Confirmed,Medium (15–50),Colin O'Brady,Confirmed,Adventures and Experiences,"Longevity,Wellness","Members,Spouses (Mixed)","Learning,Connection",,Not Open to Region,"Dubai,UAE",Yes,,2026-10-10,Heba Al Emara,YPO MENA One Regional Integrated,
The Power of Sleep,2026-11-19,November,Fireside Chat,Confirmed,Medium (15–50),Dr. Michael Breus,Confirmed,Personal Development,"Wellness,Longevity","Members,Spouses (Mixed)","Learning,Connection",Unlock the secrets to peak performance and longevity as sleep expert Dr. Michael Breus shares actionable strategies to optimize your sleep quality and transform your energy.,Not Open to Region,"Dubai,UAE",Yes,,2026-10-19,Santosh Keni,YPO MENA One Regional Integrated,
In the Boardroom with Elena & Roy Nouhra,2026-12-09,December,In the Boardroom,Confirmed,Medium (15–50),Elena & Roy Nouhra,Confirmed,Business Leadership,"Leadership,Sales,Innovation","Members,Spouses (Mixed)","Learning,Connection","Step into the boardroom with Elena and Roy Nouhra for an exclusive, intimate discussion on the dynamics of collaborative leadership and the strategic vision driving their success.",Not Open to Region,"Dubai, UAE",No,,2026-11-09,Nik Lall,YPO MENA One Regional Integrated,
A Journey to Rediscover the Forgotten Essence of Human Movement,2027-02-06,February ,Training,Confirmed,Medium (15–50),Shane Benzie,Confirmed,Personal Development,"Longevity,Wellness,Sustainability","Members,Spouses (Mixed)","Learning,Connection",,Not Open to Region,"Dubai,UAE",No,,2027-01-06,,YPO MENA One Regional Integrated,
Catching The Winds of Luck with Dr. Tina Seelig ,2027-03-25,March,Conference,Planning Stage,Medium (15–50),Dr. Tina Seelig ,Under Negotiation,Business Leadership,"Leadership,Longevity,Entrepreneurship","Members,Spouses (Mixed)",Learning,"Learn how to harness the winds of luck as Stanford expert Dr. Tina Seelig reveals the practical, evidence-based strategies to cultivate serendipity and unlock new opportunities in your life and work.",Not Open to Region,"Dubai, UAE",No,,2027-02-25,Elena Zogaib,YPO MENA One Regional Integrated,
Education in a Changing World,2026-10-08,October,Conference,Confirmed,Large (50-100),Rachel Kounda & Saloua Hamdani   ,Pending,Family Focus,Parenting,"Members,Spouses (Mixed)",Learning,"Too Much Care, Not Enough Discipline?
What becomes of a child when traditional reference points begin to blur, when frustration gradually disappears from everyday life?",Not Decided Yet,"Casablanca, Morocco",No,,2026-06-22,Amina Slaoui,YPO Morocco Integrated,
"One Chapter, One Journey",2026-11-05,November,Retreat,Confirmed,Large (50-100),"Yasmine Kadmiri , CFF & Pascal Gerken , Former YPO Chairman , Gameplan Coach",Confirmed,Personal Development,Diversity & Inclusion,"Members,Spouses (Mixed)",Connection,Join us for our Chapter Retreat  in Venise ! Great experience to connect between peers & to integrate new members & spouses .  ,Not Open to Region,"Venise, Italy",No,,2026-06-23,Hamza slaoui,YPO Morocco Integrated,
Beyond the Elections: Challenges and Priorities,2026-11-11,November,Conference,Scheduled,Large (50-100),TBD,Pending,Generational Success,Talent Development,"Members,Spouses (Mixed),YNG",Learning,"How will the key challenges revolve around delivering on electoral promises, improving socio-economic conditions (employment, healthcare, and education)?",Not Open to Region,"Casablanca, Morocco",No,,2026-06-23,Adil Lazrak,YPO Morocco Integrated,
Private Equity as a Growth Partner,2026-12-03,December,Roundtable,Confirmed,Large (50-100),Bertrand Monnier,Confirmed,Business Growth,Investing,"Members,Spouses (Mixed)",Learning,Growing Differently: Private Equity as a Strategic Partner,Not Decided Yet,"Casablanca, Morocco",No,,2026-06-23,Hassan Laaziri,YPO Morocco Integrated,
Spouses Event : Connecting Differently,2026-12-17,December,Experiences,Confirmed,Medium (15–50),"Yasmine Kadmiri , CFF",Confirmed,Personal Development,Women Leadership,Female Spouses,Connection,"A chance to slow down, reconnect with yourself, and engage with others through authentic, meaningful, and genuine connections.",Not Open to Region,"Casablanca, Morocco",No,,2026-06-23,Fatine Mhammedi Alaoui,YPO Morocco Integrated,
