Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
Financing the Machine: Who's Really Paying for the AI Boom,2026-10-10,October,Fireside Chat,Scheduled,Medium (15–50),"There will be 2-3 speakers , one of which will be  Sunil Kaushal",Pending,Business Innovation,"AI & Technology,Investing",Members,Learning,,Not Decided Yet,"Dubai , UAE",TBC,,2026-09-17,"Ishan Garga and Priank Garg
",YPO MENA Gulf Regional Integrated,
AI for busy spouses - Spouse only event,2026-10-23,October,Training,Planning Stage,Small (10–15),Shweta scott,Pending,Personal Development,AI & Technology,Female Spouses,Learning,"AI as Your Personal Operating System: Family Brain + Work Brain

This will be a practical, hands-on session designed for spouses who want to understand how AI can become a useful thought partner in both family life and work/business life — not just a tool for answering questions.

The session will focus on how to use AI to create more clarity, reduce mental load, and build simple personal systems across two areas:

1/ Family Brain  
How AI can help manage the invisible work of home and family life — planning, decision-making, schedules, calendars,, activities, household admin, and staying organized.

2/ Work Brain  
How AI can support business owners, professionals, and community leaders with thinking, writing, planning, research, decision-making, and follow-through.

What we’ll cover:  
•⁠  ⁠How to give AI better context so it understands your life, priorities, family, and work  
•⁠  ⁠How to create reusable systems instead of starting from scratch each time  
•⁠  ⁠Practical examples of AI helping with family planning, home admin, work planning, communication, and idea development  
•⁠  ⁠⁠An example of how to automate tasks like inbox triage and scheduling family calendars 
•⁠  ⁠A guided co-working section where participants can start building their own “family brain” or “work brain” live in the session  

What participants will walk away with:  
•⁠  ⁠A clearer understanding of how to use AI beyond basic prompts  
•⁠  ⁠Practical templates they can reuse immediately  
•⁠  ⁠A simple starting structure for their own personal AI system  
•⁠  ⁠Confidence using AI as a thought partner for everyday family and work decisions  

The tone will be practical, accessible, and hands-on",Not Open to Region,"Dubai , UAE",No,,2026-09-17,Niyati Mutha,YPO MENA Gulf Regional Integrated,
Crossroads 2026 - HBS partnership event,2026-11-12,November,Conference,Confirmed,XXL (100+),Various speakers - all under negotiation currently,Under Negotiation,Business Leadership,"Leadership,Entrepreneurship,Innovation",Members,Learning,"1 - young talent , 2 - Ai and adaptation priv n gov , 3 - enterpreneurial (dubai n gcc ) right place for innovations , 4 - how we can bring synergy back to gcc // these are the 4 pillars identified with crown pillar office // stage 1 - identifying the right sterring committee for every pillar - the committee needs to find solutions pre summit - at the summit and post summit and the notes will be given to crown prince office ",Open to Region,"DUBAI, UAE",No,"i can share the deck if needed 
",2026-10-12,"Hari Chereddi
",YPO MENA Gulf Regional Integrated,
MENA Gulf Cricket Cup 2026 – T10,2026-11-14,November,Social Event,Scheduled,Large (50-100),,,Adventures and Experiences,Other,Members,"Fun,Connection","A regional cricket tournament bringing chapters together on the field. Each participating chapter fields a team of 11 members, competing in a T10 format with proper scoring, umpiring, and tournament structure, much like a professional league.
The tournament runs over two days at the Sobha Stadium, with a dedicated event theme tying together the matches, presentation, and overall experience. A few celebrity appearances are also being planned to add to the buzz around the event.
A high-energy, competitive format designed to bring out chapter pride and camaraderie in a completely different setting from the usual learning and social events.",Open to Region,Dubai . UAE,No,"It will be for 2 days , confirmed 14-15 November 2026",2026-09-18,Emad Haq & Mithun Vora,YPO MENA Gulf Regional Integrated,
Global Academic Exchange – with Prof. Niro Sivanathan & Prof. Florin Vasvari,2026-12-12,December,Other,Confirmed,Large (50-100),Prof. Niro Sivanathan & Prof. Florin Vasvari,Confirmed,Business Leadership,"Leadership,Entrepreneurship",Members,Learning,"Global Academic Exchange — with Prof. Niro Sivanathan & Prof. Florin Vasvari
A two-day executive learning experience bringing together two of London Business School's most respected faculty for a chapter-exclusive engagement.

Day 1 — Negotiation, led by Prof. Niro Sivanathan, Professor of Organizational Behavior at London Business School, renowned for his expertise in influence, negotiation, and decision-making. He has worked extensively with YPO Global and chapters, with his events nominated for or winning YPO ""Best of the Best"" awards, and regularly advises and coaches YPO members on negotiations related to exits, acquisitions, and other strategic deals ranging from $35M to $2B. 

Day 2 — Private Equity, led by Prof. Florin Vasvari, Executive Dean of Executive Education (Middle East) and Academic Director of the Institute of Entrepreneurship and Private Capital at London Business School. He teaches Distressed Investing and Private Equity and Venture Capital at the school, combining academic rigor with practical industry expertise. 

The two days close together with a one-hour collaborative session bringing both professors on stage, exploring where negotiation and private equity intersect, a fitting close given that the two have already co-designed and co-direct LBS's own Private Equity Negotiations Programme together. 
",Open to Region,"DUBAI ,UAE",TBC,"DEC 12/13 is confirmed (dec 12 - prof florian , dec 13 - prof niro) // This will be a 2 day masterclass with 2 professors ",2026-10-13,Hari Kiran Chereddi,YPO MENA Gulf Regional Integrated,
(ITB) Industry Titans Boardroom – with Sunil Alagh (ITC/Britannia Legacy Dialogue),2026-12-19,December,In the Boardroom,Planning Stage,Medium (15–50),Sunil Alagh ,Pending,Generational Success,"Leadership,Entrepreneurship,Sustainability",Members,Learning,"A candid boardroom conversation with Sunil Alagh, former Managing Director and CEO of Britannia Industries, who transformed it into India's leading biscuit manufacturer through iconic brands like Tiger, with his career having started at ITC. An intimate, closed-door session drawing on decades of real boardroom experience in building brands and leading through high-stakes moments. ",Open to Region,"Dubai , UAE",No,,2026-11-19,TBC,YPO MENA Gulf Regional Integrated,
Strategic Leadership Intensive – 1 Day Program with Prof. Das,2027-01-23,January,Milestone Event,Confirmed,Large (50-100),Prof Das Narayandas - HBS,Confirmed,Business Growth,"Entrepreneurship,Customer Service,Innovation",Members,Learning,"A full-day executive leadership program led by Prof. Das Narayandas, the Edsel Bryant Ford Professor of Business Administration at Harvard Business School, who returns to the chapter following his earlier masterclass. He has been an HBS faculty member since 1994 and has won the Robert F. Greenhill Award for Outstanding Service to the HBS Community, the Charles M. Williams Award for Excellence in Teaching, and the Apgar Award for Innovation in Teaching. 

His scholarship focuses on market-facing issues in business-to-business marketing and professional services, including client management strategy, delivering service excellence, and channel design. He has consulted and developed in-house training programs for companies including GE, IBM, J&J, Honeywell, Mitsubishi, Tata Group, and Microsoft, among others. He currently sits on the board of Titan Company Limited. 

A day designed for senior leaders looking to sharpen strategic thinking and client/customer management frameworks at the highest level, backed by decades of real-world consulting and classroom expertise.",Open to Region,"DUBAI , UAE",No,"This was a highly rated event across the region, which is why we're bringing Professor Das back for another hit.",2026-10-14,Hari Kiran Chereddi,YPO MENA Gulf Regional Integrated,
Impact & Influence – Celebrity Charity Leadership Evening,2027-02-06,February ,Social Event,Planning Stage,Large (50-100),Ali Zafar - Singer,Pending,Adventures and Experiences,Other,"Members,Family","Fun,Connection","A sponsored ballroom evening honoring our workers and the people who power our city, brought together for a night of celebration. The evening features live celebrity performances and singing, paired with a charitable element that gives the evening real heart and purpose.

A dignified, memorable experience designed to celebrate a community that rarely gets a night like this, while showcasing the chapter's leadership in giving back.",Not Decided Yet,"Dubai , UAE",TBC,"It will be for the month of Ramadan , to give back to the community",2026-12-23,Emad Haq,YPO MENA Gulf Regional Integrated,
Global Affairs & Leadership Forum – with Prof. Hise Gibson,2027-03-13,March,Other,Scheduled,Large (50-100),Prof. Hise Gibson,Confirmed,Business Leadership,"Leadership,Entrepreneurship",Members,Learning,"A 4-hour executive learning forum with Prof. Hise Gibson, Senior Lecturer in the Technology and Operations Management Unit at Harvard Business School, and a retired Colonel with 25 years of distinguished service in the United States Army. His research focuses on operational effectiveness, leadership, leader development, human capital development, change management, and leading teams through crisis. He has received the Legion of Merit and Bronze Star for his military service. 

Built around two 80-90 minute case study sessions, with a 30-minute break between each, totaling 180 minutes plus breaks. Per the call with Prof. Gibson on 17 June 2026, the sessions will anchor on:

Crisis leadership and organisational change — practical, actionable approaches leaders can apply directly, not just theory
Scaling through three lenses — people, process, and technology, examined as the core levers for organisational scale

A high-intensity, case-driven format designed to leave members with concrete frameworks they can apply immediately, not just inspiration.",Open to Region,"Dubai , UAE",TBC,,2026-01-06,TBC,YPO MENA Gulf Regional Integrated,
Jeffersonian Dinner & Deal Talk – Curated Executive Dialogue,2027-03-19,March,Other,Planning Stage,Large (50-100),,,Business Leadership,"Leadership,Entrepreneurship",Members,"Learning,Connection","A collaboration with DBGN and Deal Network, bringing two distinct formats together in one evening. It opens with the Deal Talk, a closed-room exchange limited to 15-20 people, designed for candid, off-the-record conversation on real deals, decisions, and lessons learned. This is followed by the Jeffersonian Dinner, bringing the full group together around one shared conversation, classic Jeffersonian style, rather than scattered table talk.
A high-trust evening built for genuine connection, intimacy, and unfiltered exchange rather than panel-style Q&A. Speaker to be confirmed.",Open to Region,"Dubai ,UAE",No,,,,YPO MENA Gulf Regional Integrated,
Legal Perspectives – with Nita Maru,2027-04-03,April,Fireside Chat,Planning Stage,Medium (15–50),Nita Maru,Pending,Business Leadership,Compliance,"Members,Spouses (Mixed)",Learning,"Legal Perspectives — with Nita Maru
A session with Nita Maru, UK-qualified solicitor and Managing Partner of TWS Legal Consultants, Dubai, with over 25 years of experience between London and the UAE. She specializes in private client law, Wills, inheritance, and succession planning, and was a pioneering advocate for the DIFC Wills and Probate system for expatriates in the UAE. 

A practical session on succession, estate, and family legal planning for members navigating these realities in the UAE.",Not Decided Yet,"Dubai , UAE",TBC,,,,YPO MENA Gulf Regional Integrated,
Icons of Porsche event,2027-05-08,May,Experiences,Planning Stage,Medium (15–50),Porsche CEO,Pending,Business Growth,,Members,"Learning,Fun",,Open to Region,"Dubai , U.A.E",No,,,,YPO MENA Gulf Regional Integrated,
"Deeper Connection, Love, Passion & Intimacy",2026-09-18,September,Fireside Chat,Confirmed,Medium (15–50),Dr. Jessica O'Reilly,Confirmed,Personal Development,"Wellness,Relationships","Members,Female Spouses,Male Spouses","Learning,Connection","Ignite your relationship with an intimate, expert-led conversation on deepening passion, mastering communication, and cultivating lasting intimacy.",Not Open to Region,"Dubai, UAE",No,,2026-08-18,Albane Chaillot & Elena Zogaib,YPO MENA One Regional Integrated,
How Humanity Stays Human in the AI Era,2026-09-28,September,Training,Confirmed,Medium (15–50),Mo Gawdat,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed)",Learning,"An inspiring exploration into safeguarding our empathy, creativity, and consciousness to ensure humanity thrives alongside artificial intelligence.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-28,Nik Lall,YPO MENA One Regional Integrated,
Fireside Chat 'Creating Hope in Times of Upheaval',2026-10-02,October,Fireside Chat,Confirmed,Medium (15–50),HE Reem Al Hashimy,Pending,Business Leadership,"Leadership,Women Leadership",Members,Learning,,Not Open to Region,"Dubai, UAE",No,,2026-09-02,Elie Chaillot,YPO MENA One Regional Integrated,
Inside the Mind of an Artist,2026-10-26,October,Lunch & Learn,Confirmed,Medium (15–50),Sacha Jafri,Confirmed,Personal Development,"Creativity,Leadership","Members,Spouses (Mixed)","Learning,Connection",,Not Open to Region,"Dubai, UAE",No,,2026-09-26,Heba Al Emara,YPO MENA One Regional Integrated,
A Night under The Moon,2026-10-30,October,Experiences,Confirmed,Medium (15–50),Layla El Khadri,Confirmed,Personal Development,"Longevity,Wellness","Members,Spouses (Mixed)","Learning,Connection","Experience a soulful evening of movement and mindfulness under the stars, blending guided somatic dance and yoga led by Layla El Khadri to reconnect with your body and spirit.",Not Open to Region,"Dubai, UAE",No,,2026-09-30,Niousha Ehsan,YPO MENA One Regional Integrated,
The Impossible First,2026-11-10,November,Fireside Chat,Confirmed,Medium (15–50),Colin O'Brady,Confirmed,Adventures and Experiences,"Longevity,Wellness","Members,Spouses (Mixed)","Learning,Connection",,Not Open to Region,"Dubai,UAE",Yes,,2026-10-10,Heba Al Emara,YPO MENA One Regional Integrated,
The Power of Sleep,2026-11-19,November,Fireside Chat,Confirmed,Medium (15–50),Dr. Michael Breus,Confirmed,Personal Development,"Wellness,Longevity","Members,Spouses (Mixed)","Learning,Connection",Unlock the secrets to peak performance and longevity as sleep expert Dr. Michael Breus shares actionable strategies to optimize your sleep quality and transform your energy.,Not Open to Region,"Dubai,UAE",Yes,,2026-10-19,Santosh Keni,YPO MENA One Regional Integrated,
In the Boardroom with Elena & Roy Nouhra,2026-12-09,December,In the Boardroom,Confirmed,Medium (15–50),Elena & Roy Nouhra,Confirmed,Business Leadership,"Leadership,Sales,Innovation","Members,Spouses (Mixed)","Learning,Connection","Step into the boardroom with Elena and Roy Nouhra for an exclusive, intimate discussion on the dynamics of collaborative leadership and the strategic vision driving their success.",Not Open to Region,"Dubai, UAE",No,,2026-11-09,Nik Lall,YPO MENA One Regional Integrated,
A Journey to Rediscover the Forgotten Essence of Human Movement,2027-02-06,February ,Training,Confirmed,Medium (15–50),Shane Benzie,Confirmed,Personal Development,"Longevity,Wellness,Sustainability","Members,Spouses (Mixed)","Learning,Connection",,Not Open to Region,"Dubai,UAE",No,,2027-01-06,,YPO MENA One Regional Integrated,
Catching The Winds of Luck with Dr. Tina Seelig ,2027-03-25,March,Conference,Planning Stage,Medium (15–50),Dr. Tina Seelig ,Under Negotiation,Business Leadership,"Leadership,Longevity,Entrepreneurship","Members,Spouses (Mixed)",Learning,"Learn how to harness the winds of luck as Stanford expert Dr. Tina Seelig reveals the practical, evidence-based strategies to cultivate serendipity and unlock new opportunities in your life and work.",Not Open to Region,"Dubai, UAE",No,,2027-02-25,Elena Zogaib,YPO MENA One Regional Integrated,
Education in a Changing World,2026-10-08,October,Conference,Scheduled,Large (50-100),Rachel Kounda & Saloua Hamdani   ,Pending,Family Focus,Parenting,"Members,Spouses (Mixed)",Learning,"Too Much Care, Not Enough Discipline?
What becomes of a child when traditional reference points begin to blur, when frustration gradually disappears from everyday life?",Not Decided Yet,"Casablanca, Morocco",No,,2026-06-22,Amina Slaoui,YPO Morocco Integrated,
Private Equity as a Growth Partner,2026-12-03,December,Roundtable,Confirmed,Large (50-100),Bertrand Monnier,Confirmed,Business Growth,Investing,"Members,Spouses (Mixed)",Learning,Growing Differently: Private Equity as a Strategic Partner,Not Decided Yet,"Casablanca, Morocco",No,,2026-06-23,Hassan Laaziri,YPO Morocco Integrated,
Longevity and AI: The Future of Healthcare,2027-01-21,January,Conference,Scheduled,Large (50-100),Dr Laurent Alexandre,Under Negotiation,Personal Development,Longevity,"Members,Spouses (Mixed),YNG",Learning,"Healthcare: Will AI Surpass Human Expertise? As AI reshapes diagnosis, treatment, and prevention, what are the promises, realities, and challenges of the future of medicine?",Not Decided Yet,"Casablanca, Morocco",TBC,,2026-06-23,Zineb Sqalli,YPO Morocco Integrated,
Islam and Modernity: Between Heritage and Innovation,2027-02-18,February ,Conference,Confirmed,Large (50-100),Dr Asmaa Lamrabet,Pending,Personal Development,Spirituality,"Members,Spouses (Mixed),YNG",Learning,"Ramadan Iftar, followed by a conference .  A reflection on how to reconcile the spiritual and ethical values of Islam with the challenges of contemporary modernity.",Not Decided Yet,"Casablanca, Morocco",No,,2026-06-23,Omar Skalli,YPO Morocco Integrated,
Leading in Harmony: Lessons from the Conductor,2027-03-18,March,Conference,Confirmed,Large (50-100),Omar El Jamali,Pending,Business Leadership,Leadership,"Members,Spouses (Mixed),YNG",Learning,"Conductor or CEO, the mission is the same: turning diverse talents into collective harmony. One transforms a score into shared emotion. The other turns a vision into lasting performance.",Not Open to Region,"Casablanca, Morocco",No,,2026-06-23,Mohamed Laghrari,YPO Morocco Integrated,
Growing Up with AI,2027-04-07,April,Experiences,Scheduled,Large (50-100),TBD,Pending,Family Focus,AI & Technology,Family,Learning,"How do we prepare our children for a world we don’t yet understand?
",Not Open to Region,"Casablanca, Morocco",No,,2026-06-26,Zineb Sqalli,YPO Morocco Integrated,
Unlocking Health Through Nutrition,2027-04-22,April,Conference,Confirmed,Large (50-100),"Anthony
  Berthou",Under Negotiation,Personal Development,Wellness,"Members,Spouses (Mixed),YNG",Learning,"How can nutrition improve health, prevent disease, and enhance physical and mental performance?",Not Decided Yet,"Casablanca, Morocco",No,,2026-06-26,Mehdi Bahraoui,YPO Morocco Integrated,
Couple relationships & Sexuality,2027-05-13,May,Conference,Confirmed,Large (50-100),Meriem Bennani Smires,Pending,Personal Development,Other,"Members,Spouses (Mixed)",Learning,"How can couples preserve emotional connection, desire, and intimacy when daily life is dominated by stress, demanding schedules, and responsibilities?
",Not Open to Region,"Casablanca, Morocco",No,,2026-06-26,TBD,YPO Morocco Integrated,
A Family Equestrian Experience,2027-06-12,June,Other,Confirmed,Large (50-100),Noor Slaoui,Pending,Family Focus,Other,Family,"Connection,Fun","A Family day at the Royal Stud Farm: Discover the fascinating world of horses , followed by a spectacular equestrian Show.",Not Open to Region,"Casablanca, Morocco",No,,2026-06-26,TBD,YPO Morocco Integrated,
"Leadership, Legacy: inspiring the next generation of impact",2026-09-30,September,Keynote,Planning Stage,Medium (15–50),Ndaba Mandela (Grandson of Nelson Mandela),Confirmed,Business Leadership,"Leadership,Family Business,Relationships,Entrepreneurship","Members,Spouses (Mixed),YNG",Learning,Family Member of Nelson Mandela that encourages members to define their own impact in the world.,Open to Region,"Muscat, Sultanate of Oman",TBC,Speaker / F&B Canapes / Drinks,,Nailesh & Minal Khimji,YPO Oman Integrated,
Redefining Limits,2026-10-28,October,Keynote,Planning Stage,Medium (15–50),Ahmed Al Busaidi,Under Negotiation,Business Innovation,"Entrepreneurship,Diversity & Inclusion","Members,Spouses (Mixed),YNG",Learning,Story of young Omani with Down syndrome who decided to redefine his limits and chase his dreams of being a chef.,Not Open to Region,"Muscat, Sultanate of Oman",No,Speaker / F&B Canapes / Drinks,,Shatha & Imad Sultan,YPO Oman Integrated,
Impact begins with you,2026-11-30,November,Fireside Chat,Planning Stage,Medium (15–50),Alexandra Cousteau (granddaughter of Jacques-Yves Cousteau),Confirmed,Generational Success,"Leadership,Sustainability,Wellness,Longevity","Members,Spouses (Mixed),YNG","Learning,Connection","From Jacques Cousteau family to talk about environmental impact and global responsibility, deliver introspect on individuals daily impact",Open to Region,"Muscat, Sultanate of Oman",TBC,Speaker / F&B Canapes / Drinks,,Rishi Khimji & Tania Al Said,YPO Oman Integrated,
Human Performances & Leadership Under Pressure,2027-01-20,January,Physical Fitness,Planning Stage,Medium (15–50),Nasser Qazi (Coach),Confirmed,Personal Development,"Wellness,Mental Health,Leadership","Members,Spouses (Mixed)","Learning,Connection",Talk about human performance and leadership under pressure - open discussion on how to optimise performance and lead under pressure,Not Open to Region,"Muscat, Sultanate of Oman",TBC,AM Workshop 3hrs,,Mohamed Al Harthy,YPO Oman Integrated,
Inwards & Outwards,2027-01-20,January,Roundtable,Planning Stage,Medium (15–50),Nasser Qazi (Coach),Confirmed,Personal Development,"Wellness,Mental Health,Leadership","Members,Spouses (Mixed),YNG","Learning,Connection",Share insights on how to get inner stability in a world that constantly pulls you outwards,Not Open to Region,"Muscat, Sultanate of Oman",TBC,"PM Group Session 1.5hrs, Mic, F&B Canapes/ Drinks",,Dharmesh & Radhika Khimji,YPO Oman Integrated,
Parallel World,2027-04-07,April,Experiences,Planning Stage,Large (50-100),Ugur Gallenkus (Turkish Digital Artist),Confirmed,Personal Development,Creativity,"Members,Spouses (Mixed),YNG","Connection,Learning","Curated exhibition from YPO Oman, that it is thought provoking. Some pieces will be actioned and all proceeding will go towards different charities of the chair person's choice.
",Open to Region,"Muscat, Sultanate of Oman",TBC,"DJ, Canapes",,Tarek Al Said & Lamees,YPO Oman Integrated,
Les Nuit des Sens,2027-05-26,May,Sensorial experience,Planning Stage,Medium (15–50),Renaud Salmon,Under Negotiation,Adventures and Experiences,"Creativity,Other","Members,Spouses (Mixed)","Learning,Fun,Connection",Exquisite sensorial experience curated in the form of storytelling of luxury fragrance.,Not Open to Region,"Muscat, Sultanate of Oman",TBC,Dining,,Reggy Vermeulen & Dorothee Pankert,YPO Oman Integrated,
"The New World (dis)Order: Navigating Geopolitical Risk, Crisis, and Opportunity for Business",2026-09-25,September,Milestone Event,Confirmed,Large (50-100),Marco Vicenzino,Confirmed,Personal Development,"Geopolitics,Investing","Members,Spouses (Mixed),YNG",Learning,The Middle East is being repriced in real time — hear geopolitical strategist Marco Vicenzino break down what it means for your capital,Open to Region,,Yes,,2026-08-29,TBC,YPO Pakistan,
"Pause, Breathe, Heal",2026-10-30,October,Experiences,Scheduled,Medium (15–50),TBC,,Personal Development,Wellness,Spouses (Mixed),Experiential,"A special wellness experience created exclusively for YPO spouses. Discover the perfect blend of Yoga and Reiki to restore balance, energy and inner calm.",,,,,2026-10-01,,YPO Pakistan,
AI for the C-Suite,2027-01-16,January,Training,Scheduled,Medium (15–50),Ross Hendin,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed),YNG",Learning,A hands-on executive workshop designed to help C-suite leaders harness AI for strategic impact and growth.,Open to Region,,,,2026-12-01,,YPO Pakistan,
Closer Together,2027-04-02,April,Experiences,Confirmed,Medium (15–50),Anna Kellberg,Confirmed,Personal Development,Relationships,"Members,Spouses (Mixed)",Relationships,"A Date Night with Anna Kellberg designed for couples' bonding — an engaging evening of conversation, connection, and shared insights in a warm, intimate setting.",,,,,2027-02-01,,YPO Pakistan,
Event with Tareq Amin- CEO of Humain,2026-09-27,September,Fireside Chat,Confirmed,Medium (15–50),Tareq Amin of Humain,Confirmed,Business Leadership,"Leadership,AI & Technology",Members,"Learning,Connection",Fireside chat with the CEO of Humain,Open to Region,"Riyadh, KSA",Yes,,2026-08-24,TBA,YPO Saudi,
Healing & Stress Management by Karima ,2026-09-29,September,Experiences,Confirmed,Medium (15–50),Karima,Confirmed,Personal Development,Wellness,Female Spouses,"Learning,Connection",Stress Management Workshop,Open to Region,"Riyadh, Jeddah KSA",Yes,Collaboration with YPO Gold Saudi ,2026-08-24,,YPO Saudi,
"Event with Patrick Pichette 
",2026-10-21,October,Fireside Chat,Confirmed,Medium (15–50),Patrick Pichette,Confirmed,Business Leadership,"Leadership,Investing",Members,Learning,"As CFO of Google from 2008 to 2015, he took an active part in Google’s growth agenda and ultimately supported the creation of the Alphabet structure. ",Open to Region,"Riyadh, KSA",Yes,Fireside chat event,2026-09-30,Mr. Abdulaziz Alrashed,YPO Saudi,
YPO GCC Shark Tank,2026-11-07,November,Virtual/Hybrid,Confirmed,Large (50-100),Ascend,Confirmed,Family Focus,"Innovation,Entrepreneurship,Investing,AI & Technology,Family Business,Parenting,Talent Development",Family,"Learning,Fun,Connection","Empowering the Next Generation of Leaders through Entrepreneurship, AI, and Vision 2030. Open to 9 to 17 YPO kids. 8 online sessions and with a live Finale for sales pitch in Riyadh. 
Note: 8 weeks online sessions & one day in-person finale in Riyadh. 
",Open to Region,"Riyadh, KSA",Yes,Seeking Regional Support,2026-07-01,Ms. Rasha Al Rashed,YPO Saudi,
"Event with 
Dr. Khaleel Alzyood
",2026-11-23,November,Fireside Chat,Confirmed,Medium (15–50),Dr. Khaleel Alzyood,Confirmed,Personal Development,"Wellness,Mental Health,Parenting,Relationships,Spirituality","Members,Spouses (Mixed),YNG","Learning,Connection","Dr. Khaleel Alzyood is a prominent Jordanian family and educational relations consultant. He is widely recognized across the Arab world for his digital content, lectures, and workshops focusing on marital dynamics, parenting, and personal psychology. 
",Open to Region,"Riyadh, Jeddah, Al-Khobar KSA",Yes,Collaboration with YPO Gold Saudi,2026-10-25,,YPO Saudi,
"Building AI Skills, One Sprint at a Time with Andrea Prazakova 
",2026-06-18,January,In the Boardroom,Confirmed,Medium (15–50),Andrea Prazkova,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed),YNG","Learning,Fun,Connection","Andrea has 34 years of experience in innovation, banking, technology, and ESG across Europe, Asia, Africa, and the Middle East. She is a Human-Centered AI Consultant, a TEDx speaker, investor, advisory board member, upcoming author, podcast host of Space Uncensored (Women in Space economy focused podcast). She is the Founder & CEO of AI Capacity Building consultancy BrainGym with its BrainGym.ai platform, AI Start up Zufa.Ai, Agentic Digital Nanny empowering parents and children to navigate online content safely and most recently, Andrea co-founded DAON.Tech, which is building the world’s first AI powered concierge for seamless communication between school and parents.
",Open to Region,"Riyad, Jeddah & Al-Khobar KSA",Yes,In Collaboration with YPO Gold Saudi,2026-11-29,TBA,YPO Saudi,
"Flagship Educational Event with Prof. Marco Bertini of Esade
",2027-03-22,March,In the Boardroom,Confirmed,Medium (15–50),Prof. Marco Bertini of Esade,Confirmed,Business Leadership,"Leadership,Investing,Entrepreneurship,Sustainability,Customer Service,Finance,Compliance,Innovation","Members,YNG","Learning,Connection",one day workshop. Signature Educational Event,Open to Region,"Riyadh, KSA",Yes,Collaboration with YPO Gold Saudi,2026-11-29,Mr. Abdulaziz Albassam,YPO Saudi,
Sushi Making Event,2026-06-20,April,Experiences,Confirmed,Medium (15–50),Atsuko Ikeda,Confirmed,Adventures and Experiences,"Creativity,Parenting,Relationships",Family,"Learning,Fun,Connection","We bring the art of authentic Japanese home cooking to Saudi Arabia through hands-on classes led by chef Atsuko Ikeda, this immersive experiences include sushi making classes, bento box workshops, and traditional Japanese dishes. Join us to learn, cook, and enjoy the true flavours of Japan.
",Open to Region,"Riyad, Jeddah and Al-Khobar KSA",Yes,Open for families,2026-12-27,TBA,YPO Saudi,
Awakening & Reflection,2026-10-08,October,Conference,Planning Stage,Medium (15–50),"Philosopher, author, executive coach",Wishlist,Personal Development,"Leadership,Sustainability,Talent Development","Members,Spouses (Mixed)",Learning,"Am I living aligned?
Deep reflection and introspection",,Tunis,,,,,YPO Tunisia,
Leading from Alignment,2026-11-19,November,Conference,Planning Stage,Medium (15–50),"HBS professor, CEO, leadership expert",Wishlist,Business Leadership,"Leadership,Talent Development","Members,Spouses (Mixed)",Learning,"alignment between:
- values,
-leadership,
-company culture,
-decision-making.
",,Tunis,,,,,YPO Tunisia,
Energy to Live Fully,2027-01-28,January,Experiences,Planning Stage,Medium (15–50),"Physician, neuroscientist, longevity researcher, elite athlete",Wishlist,Personal Development,"Wellness,Longevity","Members,Spouses (Mixed)",Learning,"How do we remain physically, mentally and emotionally at our best over the next three decades?",,Tunis,,,,,YPO Tunisia,
Relationships & Legacy,2027-03-25,March,Roundtable,Planning Stage,Medium (15–50),"Family therapist, author, ",Wishlist,Generational Success,"Longevity,Relationships","Members,Spouses (Mixed)",Learning,"Cultivating meaningful relationships through presence, authenticity, and shared purpose.",,Tunis,,,,,YPO Tunisia,
Build the Brain: An AI Sprint for Leaders,2026-09-17,September,Training,Confirmed,Medium (15–50),TBC,Under Negotiation,Business Leadership,"Leadership,AI & Technology","Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,,YPO UAE Integrated,
The Future of Gaming,2026-10-08,October,Training,Confirmed,Medium (15–50),TBC,Under Negotiation,,"AI & Technology,Innovation","Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,,YPO UAE Integrated,
Mental Fitness for High Performers,2026-10-16,October,Training,Confirmed,Medium (15–50),TBC,Under Negotiation,,"Wellness,Mental Health","Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,,YPO UAE Integrated,
How to Raise & How to Invest in Early,2026-11-05,November,Training,Confirmed,Medium (15–50),TBC,Under Negotiation,,Investing,"Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,,YPO UAE Integrated,
AI & VR Enabled Innovation and Sustainability,2026-11-20,November,Training,Confirmed,Medium (15–50),Javier Delgado,Confirmed,,"AI & Technology,Sustainability","Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,,YPO UAE Integrated,
Axis 2027: YPO UAE Signature Event,,January,Milestone Event,Confirmed,Large (50-100),"Damon West, Fernan Gonzalez, Giuseppe StiglianoLuis HuerteMichael Jacobides, Paolo",Confirmed,Business Leadership,Leadership,"Members,Spouses (Mixed)",Learning,,Open to Region,"Dubai, UAE",No,,,,YPO UAE Integrated,
